kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8758204,K02841.01,Kepler-1881 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,159.388788000,226.9313000,0.1090,8.43200,1033.0,2.73,289.0,1.65,17.30,1,q1_q17_dr25_tce,5135.00,4.464,0.8740,293.639400,44.982529,15.822
9030537,K01892.01,Kepler-1674 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,62.561387900,178.4084700,0.8420,5.90700,1372.6,3.54,417.0,7.13,35.00,1,q1_q17_dr25_tce,5662.00,4.560,0.8400,294.816100,45.306122,15.500
8240904,K01070.02,Kepler-266 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,107.721409200,354.1952200,0.0030,8.04200,1396.2,4.75,421.0,7.39,30.50,2,q1_q17_dr25_tce,5529.00,4.190,1.2940,294.484380,44.166908,15.590
8240904,K01070.03,,CANDIDATE,CANDIDATE,,0,0,0,0,92.777790000,367.6112000,0.0174,6.64000,359.0,1.92,410.0,6.70,5.20,,,5888.00,4.444,1.0190,294.484380,44.166908,15.590
10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,0.8810,0,0,0,0,289.864067000,133.6971900,0.8560,7.56500,529.1,2.34,257.0,1.03,57.40,1,q1_q17_dr25_tce,5516.00,4.446,0.8860,289.217500,47.884460,11.664
8845205,K00463.01,Kepler-560 b,CONFIRMED,CANDIDATE,0.0010,0,0,0,0,18.477626940,185.2690610,0.7120,1.94000,2604.6,1.55,267.0,1.21,75.70,1,q1_q17_dr25_tce,3395.00,4.970,0.2830,300.206090,45.018139,14.708
7603200,K00314.02,Kepler-138 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,23.089022410,171.0076340,0.3200,1.70120,598.3,1.24,338.0,3.10,57.40,2,q1_q17_dr25_tce,3846.00,4.738,0.5030,290.381500,43.292988,12.925
12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,19.271538920,186.7709300,0.0310,2.75940,1219.8,1.93,393.0,5.66,37.10,1,q1_q17_dr25_tce,4077.00,4.702,0.5600,293.973360,50.531910,15.385
6497146,K03284.01,Kepler-438 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,35.233069400,135.3647700,0.1390,3.67400,352.8,0.97,288.0,1.62,14.50,1,q1_q17_dr25_tce,3749.00,4.743,0.5240,281.645810,41.951092,14.467
6425957,K00663.02,Kepler-205 c,CONFIRMED,CANDIDATE,0.0080,0,0,0,0,20.306528620,172.6581000,0.7140,2.80140,715.4,1.58,389.0,5.40,60.80,2,q1_q17_dr25_tce,4121.00,4.709,0.5530,285.287110,41.861172,13.506
10027323,K01596.02,Kepler-309 c,CONFIRMED,CANDIDATE,0.7380,0,0,0,0,105.358229900,138.6806900,0.7500,3.81000,1210.2,1.87,204.0,0.41,22.60,2,q1_q17_dr25_tce,3883.00,4.762,0.4960,297.509860,46.961262,15.157
3966801,K00494.01,Kepler-577 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,25.695814560,188.7888900,0.6800,4.02510,1130.8,1.70,314.0,2.30,45.10,1,q1_q17_dr25_tce,3787.00,4.775,0.4770,294.711940,39.073761,14.885
11187837,K00252.01,Kepler-1663 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.604614010,170.4984000,0.7150,3.71600,2292.1,2.64,362.0,4.07,80.10,1,q1_q17_dr25_tce,3744.00,4.737,0.5160,290.401490,48.822590,15.613
12302530,K00438.02,Kepler-155 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,52.661526600,183.5205400,0.6820,3.15920,1078.1,1.87,271.0,1.28,38.40,2,q1_q17_dr25_tce,3984.00,4.720,0.5390,288.495820,51.081940,14.258
8017703,K00518.03,Kepler-174 d,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,247.354914000,364.1583200,0.0440,8.67700,1291.8,2.29,212.0,0.48,49.00,2,q1_q17_dr25_tce,4859.00,4.615,0.6510,287.439180,43.832088,14.287
6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,56.056075400,201.1657800,0.0180,4.68500,1626.0,1.94,233.0,0.69,27.40,1,q1_q17_dr25_tce,3593.00,4.757,0.4910,289.508480,41.812119,15.849
6867155,K00868.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,235.998639900,208.3998220,0.7780,8.22840,20714.6,10.59,188.0,0.29,271.80,1,q1_q17_dr25_tce,4245.00,4.627,0.6570,293.007970,42.307201,15.172
6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,59.878025800,151.1847000,0.0040,4.80270,1419.1,2.19,273.0,1.31,51.80,1,q1_q17_dr25_tce,4016.00,4.658,0.5990,295.304500,42.475288,14.995
11075279,K01431.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,345.158935400,318.3077190,0.8700,7.56460,5087.9,7.79,241.0,0.80,197.90,1,q1_q17_dr25_tce,5597.00,4.515,0.9310,287.022280,48.681938,13.460
10005758,K01783.02,Kepler-1662 c,CONFIRMED,CANDIDATE,0.9910,0,0,0,0,284.063137000,200.8361900,0.8880,8.29700,1628.1,6.36,321.0,2.51,53.50,2,q1_q17_dr25_tce,5791.00,4.185,1.3360,289.341430,46.988239,13.929
3326377,K01830.02,Kepler-967 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,198.710625100,156.5181900,0.0260,8.63800,2094.8,3.56,258.0,1.05,62.10,2,q1_q17_dr25_tce,5180.00,4.548,0.8000,286.558070,38.405369,14.443
11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,0.8540,0,0,0,0,82.534118800,209.1276300,0.0330,4.85560,1895.4,2.45,260.0,1.08,40.10,1,q1_q17_dr25_tce,4316.00,4.678,0.5800,297.090670,49.626572,15.187
9349482,K02020.01,Kepler-1058 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,110.964370600,187.0462100,0.7290,12.83100,1283.2,2.11,239.0,0.77,42.10,1,q1_q17_dr25_tce,4441.00,4.695,0.5460,294.595790,45.875031,15.498
7826659,K02686.01,Kepler-1868 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,211.032819000,279.1289100,0.8080,7.11900,1953.4,3.43,215.0,0.50,69.30,1,q1_q17_dr25_tce,4658.00,4.632,0.6860,293.298370,43.555870,13.855
4552729,K02691.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,97.446319400,204.8300900,0.0630,6.76500,2141.1,3.05,283.0,1.52,62.80,1,q1_q17_dr25_tce,4735.00,4.627,0.6860,289.109920,39.685390,14.981
11853130,K03263.01,,CANDIDATE,CANDIDATE,0.9680,0,0,0,0,76.879358930,146.8824510,0.8640,2.38190,21272.0,7.71,202.0,0.40,131.00,1,q1_q17_dr25_tce,3638.00,4.828,0.4360,285.095860,50.100960,15.949
8142787,K04005.01,Kepler-439 b,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,178.139072000,210.1180200,0.0420,9.65400,678.8,2.25,291.0,1.70,20.30,1,q1_q17_dr25_tce,5431.00,4.496,0.8790,280.801570,44.033989,14.560
11415243,K04036.01,Kepler-1544 b,CONFIRMED,CANDIDATE,0.9650,0,0,0,0,168.811330000,211.4398200,0.0830,6.58200,614.4,1.69,241.0,0.80,15.30,1,q1_q17_dr25_tce,4798.00,4.620,0.7070,297.285000,49.212460,14.061
6428794,K04054.01,Kepler-1701 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,169.135056000,201.8055000,0.7540,8.93100,640.7,2.21,273.0,1.31,24.50,1,q1_q17_dr25_tce,5171.00,4.545,0.8010,286.608890,41.889339,14.566
7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE,0.9720,0,0,0,0,65.704527500,137.4427500,0.6630,3.31040,636.1,2.78,472.0,11.72,70.40,1,q1_q17_dr25_tce,5918.00,4.403,1.0430,283.374820,43.788219,11.667
10984090,K00112.01,Kepler-466 b,CONFIRMED,CANDIDATE,0.9900,0,0,0,0,51.079264510,185.1808700,0.0170,6.37290,736.8,2.75,503.0,15.17,126.80,1,q1_q17_dr25_tce,5833.00,4.407,1.0220,295.648710,48.495560,12.772
