pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-150 d,Kepler-150,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,12.56093000000,0.1040000000,2.79000000,0.24900000,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560.00,0.939000,,,,4.466000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.09200000,15.1610000,13.3670000,14.9743000,2014-05-14,2014-03,2014-05-14
Kepler-150 e,Kepler-150,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,30.82655700000,0.1890000000,3.12000000,0.27800000,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560.00,0.939000,,,,4.466000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.09200000,15.1610000,13.3670000,14.9743000,2014-05-14,2014-03,2014-05-14
Kepler-150 f,Kepler-150,1,1,5,Transit,2017,Kepler,Published Confirmed,0,<a refstr=SCHMITT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..180S/abstract target=ref>Schmitt et al. 2017</a>,637.20930000000,1.2400000000,3.64000000,0.32473905,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5528.00,0.905339,0.970000,,,4.511220,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.09200000,15.1610000,13.3670000,14.9743000,2017-04-11,2017-04,2017-04-13
KIC 5437945 b,KIC 5437945,1,1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,440.78130000000,,6.40000000,0.57096976,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6340.00,1.240000,1.070000,-0.3800,[Fe/H],4.160000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01000000,13.8340000,12.3670000,13.7506000,2015-12-24,2015-12,2016-01-05
Kepler-460 c,KIC 5437945,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,220.13033570000,,5.52000000,0.49246141,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6146.00,1.260000,1.170000,0.0600,[Fe/H],4.300000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01000000,13.8340000,12.3670000,13.7506000,2016-05-06,2016-05,2016-05-10
Kepler-27 b,Kepler-27,1,1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,15.33480000000,0.1180000000,4.00000000,0.35700000,2895.31000000,9.11000000,Mass,,,,1,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,5400.00,0.590000,0.650000,0.4100,[M/H],5.400000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.0858710,1044.36000000,15.8220000,14.1180000,15.8164000,2014-05-14,2012-04,2014-05-14
Kepler-27 c,Kepler-27,1,1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,31.33090000000,0.1910000000,4.90000000,0.43700000,4385.87000000,13.80000000,Mass,,,,1,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,5400.00,0.590000,0.650000,0.4100,[M/H],5.400000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.0858710,1044.36000000,15.8220000,14.1180000,15.8164000,2014-05-14,2012-04,2014-05-14
Kepler-27 d,Kepler-27,1,1,3,Transit,2021,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,6.54628992100,,2.70619460,0.24143093,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5251.00,0.817000,0.926000,0.2100,[Fe/H],4.581000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.0858710,1044.36000000,15.8220000,14.1180000,15.8164000,2021-12-05,2022-02,2021-12-05
Kepler-700 b,Kepler-700,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,80.87206390000,,5.99000000,0.53439201,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5692.00,0.960000,0.980000,0.0400,[Fe/H],4.470000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m37.01s,287.1542240,+41d33m56.80s,41.5657775,1491.76000000,15.2020000,13.5690000,15.1916000,2016-05-06,2016-05,2016-05-10
Kepler-397 b,Kepler-397,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,22.25094900000,0.1440000000,2.46000000,0.21900000,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5307.00,0.767000,,,,4.572000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m34.57s,295.8940373,+42d22m49.86s,42.3805156,,16.3570000,13.9000000,,2014-05-14,2014-03,2014-05-14
