pl_name,hostname,exomoon_reference,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-150 d,Kepler-150,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,12.56093,0.104,2.79,0.249,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.939,,,,4.466,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.520897,891.092,15.161,13.367,14.9743,2014-05-14,2014-03,2014-05-14
Kepler-150 e,Kepler-150,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,30.826557,0.189,3.12,0.278,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.939,,,,4.466,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.520897,891.092,15.161,13.367,14.9743,2014-05-14,2014-03,2014-05-14
Kepler-150 f,Kepler-150,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,5,Transit,2017,Kepler,Published Confirmed,0,<a refstr=SCHMITT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..180S/abstract target=ref>Schmitt et al. 2017</a>,637.2093,1.24,3.64,0.32473905,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5528,0.905339,0.97,,,4.51122,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.520897,891.092,15.161,13.367,14.9743,2017-04-11,2017-04,2017-04-13
KIC 5437945 b,KIC 5437945,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,440.7813,,6.4,0.57096976,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6340,1.24,1.07,-0.38,[Fe/H],4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01,13.834,12.367,13.7506,2015-12-24,2015-12,2016-01-05
Kepler-460 c,KIC 5437945,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,220.1303357,,5.52,0.49246141,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6146,1.26,1.17,0.06,[Fe/H],4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01,13.834,12.367,13.7506,2016-05-06,2016-05,2016-05-10
Kepler-27 b,Kepler-27,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,15.3348,0.118,4,0.357,2895.31,9.11,Mass,,,,1,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,5400,0.59,0.65,0.41,[M/H],5.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.085871,1044.36,15.822,14.118,15.8164,2014-05-14,2012-04,2014-05-14
Kepler-27 c,Kepler-27,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,3,Transit,2011,Kepler,Published Confirmed,0,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,31.3309,0.191,4.9,0.437,4385.87,13.8,Mass,,,,1,<a refstr=STEFFEN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.2342S/abstract target=ref> Steffen et al. 2012 </a>,,5400,0.59,0.65,0.41,[M/H],5.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.085871,1044.36,15.822,14.118,15.8164,2014-05-14,2012-04,2014-05-14
Kepler-27 d,Kepler-27,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,3,Transit,2021,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,6.546289921,,2.7061946,0.24143093,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5251,0.817,0.926,0.21,[Fe/H],4.581,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m56.82s,292.2367608,+41d05m09.14s,41.085871,1044.36,15.822,14.118,15.8164,2021-12-05,2022-02,2021-12-05
Kepler-700 b,Kepler-700,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,80.8720639,,5.99,0.53439201,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5692,0.96,0.98,0.04,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m37.01s,287.154224,+41d33m56.80s,41.5657775,1491.76,15.202,13.569,15.1916,2016-05-06,2016-05,2016-05-10
Kepler-397 b,Kepler-397,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,22.250949,0.144,2.46,0.219,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5307,0.767,,,,4.572,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m34.57s,295.8940373,+42d22m49.86s,42.3805156,,16.357,13.9,,2014-05-14,2014-03,2014-05-14
